Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), 20)",Chrome 114.0.0.0,,,2023-07-09 01:38:05,2023-07-09 01:38:05,0.403s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 01:38:05,2023-07-09 01:38:11,6.012s,PASSED
,,,,,,,
Test Cases/Sanity/SIQ-TC-12406,Chrome 114.0.0.0,,,2023-07-09 01:38:11,2023-07-09 01:38:46,34.714s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 01:38:12,2023-07-09 01:38:18,6.004s,PASSED
"click(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/lightning-primitive-icon (1)""))",Chrome 114.0.0.0,,,2023-07-09 01:38:18,2023-07-09 01:38:18,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/lightning-primitive-icon (1)""))",Chrome 114.0.0.0,,,2023-07-09 01:38:18,2023-07-09 01:38:19,0.612s,PASSED
"click(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/span_Delegate""))",Chrome 114.0.0.0,,,2023-07-09 01:38:19,2023-07-09 01:38:19,0.589s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/h1_Delegation""), 0)",Chrome 114.0.0.0,,,2023-07-09 01:38:19,2023-07-09 01:38:20,0.545s,PASSED
"click(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/button_HO""))",Chrome 114.0.0.0,,,2023-07-09 01:38:20,2023-07-09 01:38:22,1.957s,PASSED
"click(findTestObject(""Delegate Rooster/Page_Lightning Experience  Salesforce/span_Field""))",Chrome 114.0.0.0,,,2023-07-09 01:38:22,2023-07-09 01:38:22,0.612s,PASSED
"click(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/span_Business Unit_slds-radio_faux""))",Chrome 114.0.0.0,,,2023-07-09 01:38:22,2023-07-09 01:38:25,2.455s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 01:38:25,2023-07-09 01:38:31,6.013s,PASSED
"scrollToElement(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/span_User Type_slds-checkbox_faux""), 0)",Chrome 114.0.0.0,,,2023-07-09 01:38:31,2023-07-09 01:38:31,0.530s,PASSED
"click(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/span_HO_slds-checkbox_faux""))",Chrome 114.0.0.0,,,2023-07-09 01:38:31,2023-07-09 01:38:32,0.504s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/button_Populate""))",Chrome 114.0.0.0,,,2023-07-09 01:38:32,2023-07-09 01:38:32,0.422s,PASSED
"click(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/button_Populate""))",Chrome 114.0.0.0,,,2023-07-09 01:38:32,2023-07-09 01:38:33,0.505s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/button_Proceed""))",Chrome 114.0.0.0,,,2023-07-09 01:38:33,2023-07-09 01:38:33,0.488s,PASSED
"click(findTestObject(""Object Repository/Delegate Rooster/Page_Lightning Experience  Salesforce/button_Proceed""))",Chrome 114.0.0.0,,,2023-07-09 01:38:33,2023-07-09 01:38:34,0.445s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 01:38:34,2023-07-09 01:38:40,6.004s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/New Folder/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), 20)",Chrome 114.0.0.0,,,2023-07-09 01:38:40,2023-07-09 01:38:40,0.417s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 01:38:40,2023-07-09 01:38:46,6.017s,PASSED
,,,,,,,
Test Cases/Sanity/SIQ-TC-12407,Chrome 114.0.0.0,,,2023-07-09 01:38:46,2023-07-09 01:39:21,34.691s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 01:38:47,2023-07-09 01:38:53,6.019s,PASSED
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/lightning-primitive-icon (1)""))",Chrome 114.0.0.0,,,2023-07-09 01:38:53,2023-07-09 01:38:53,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/lightning-primitive-icon (1)""))",Chrome 114.0.0.0,,,2023-07-09 01:38:53,2023-07-09 01:38:53,0.551s,PASSED
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/span_Delegate""))",Chrome 114.0.0.0,,,2023-07-09 01:38:53,2023-07-09 01:38:54,0.557s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/h1_Delegation""), 0)",Chrome 114.0.0.0,,,2023-07-09 01:38:54,2023-07-09 01:38:54,0.526s,PASSED
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/button_HO""))",Chrome 114.0.0.0,,,2023-07-09 01:38:54,2023-07-09 01:38:56,1.927s,PASSED
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/span_Field""))",Chrome 114.0.0.0,,,2023-07-09 01:38:56,2023-07-09 01:38:57,0.566s,PASSED
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/button_Roster""))",Chrome 114.0.0.0,,,2023-07-09 01:38:57,2023-07-09 01:38:57,0.584s,PASSED
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/span_System""))",Chrome 114.0.0.0,,,2023-07-09 01:38:57,2023-07-09 01:38:58,0.630s,PASSED
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/span_Copy""))",Chrome 114.0.0.0,,,2023-07-09 01:38:58,2023-07-09 01:38:59,0.619s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 01:38:59,2023-07-09 01:39:05,6.015s,PASSED
"scrollToElement(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/span_User Type_slds-checkbox_faux""), 0)",Chrome 114.0.0.0,,,2023-07-09 01:39:05,2023-07-09 01:39:05,0.390s,PASSED
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/span_User Type_slds-checkbox_faux""))",Chrome 114.0.0.0,,,2023-07-09 01:39:05,2023-07-09 01:39:06,0.506s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/button_Populate""))",Chrome 114.0.0.0,,,2023-07-09 01:39:06,2023-07-09 01:39:06,0.507s,PASSED
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/button_Populate""))",Chrome 114.0.0.0,,,2023-07-09 01:39:06,2023-07-09 01:39:07,0.471s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/button_Proceed""))",Chrome 114.0.0.0,,,2023-07-09 01:39:07,2023-07-09 01:39:07,0.498s,PASSED
"click(findTestObject(""Object Repository/System User/Page_Lightning Experience  Salesforce/button_Proceed""))",Chrome 114.0.0.0,,,2023-07-09 01:39:07,2023-07-09 01:39:08,0.458s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 01:39:08,2023-07-09 01:39:14,6.018s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Delegate System/Page_SalesIQ Home  Salesforce/span_Quota Refinement""), 20)",Chrome 114.0.0.0,,,2023-07-09 01:39:14,2023-07-09 01:39:14,0.418s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-09 01:39:14,2023-07-09 01:39:20,6.007s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-09 01:39:20,2023-07-09 01:39:21,0.913s,PASSED
